City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Other Cities,38.39,63.99,2.48,15.39,10.2,16.55,0.61,20.0,36.83,0.46,1.14,0.15,77.0
Hyderabad,29.67,93.0,20.72,10.41,31.13,24.94,0.76,9.31,15.48,0.45738738738738743,1.0743243243243243,13.28783783783784,97.0
Ahmedabad,58.62,141.54,5.49,61.64,34.16,16.645,5.49,88.67,86.71,8.51,31.34,3.59,205.0
Delhi,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0
Hyderabad,70.96,104.88,7.28,7.21,12.71,10.08,1.25,9.36,43.03,1.42,5.74,1.04,121.0
Hyderabad,47.03,93.0,10.31,33.02,43.33,24.94,0.44,8.47,35.72,1.89,14.27,1.58,120.0
Other Cities,71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,0.18,3.45,0.07,140.0
Patna,135.34,158.08,11.29,16.42,11.28,49.8,2.25,54.47,14.679999999999993,0.4,3.09,1.24,293.0
Lucknow,115.03,97.965,32.81,29.67,60.861368421052624,8.91,2.44,5.65,110.71,1.215,2.84,0.82,309.0
Chennai,46.96,48.55,10.18,14.46,12.92,50.96796116504855,0.03,4.9,18.16,0.0,0.0,0.82,99.0
Chennai,48.75,48.55,17.33,36.82,30.08,43.43,0.78,20.65,45.6,1.3,2.22,0.82,75.0
Ahmedabad,105.20376470588235,141.54,109.91225352112677,22.24749295774648,36.599529411764706,16.645,109.91225352112677,64.0178309859155,24.00941176470588,0.0,0.0,0.0,198.841642228739
Ahmedabad,79.95908823529412,141.54,146.41676056338028,25.622478873239437,42.28167647058824,16.645,146.41676056338028,63.243492957746476,20.091470588235293,0.0,0.0,0.0,141.03519061583577
Gurugram,100.22,262.82,7.89,8.57,7.03,39.69,0.7,7.39,33.02,0.0,0.0,10.64,187.0
Mumbai,25.5,58.53,123.26,8.94,135.698623655914,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Ahmedabad,27.28,63.5,2.5,18.56,10.84,16.645,0.68,9.988571428571426,55.52,2.91,17.83,1.29,137.0
Gurugram,75.84,395.4,5.15,13.83,21.78269938650307,39.69,0.72,6.08,8.85,0.03,2.57,10.64,576.0
Hyderabad,43.48,115.8,6.47,53.31,33.42,20.36,0.8,9.51,50.3,4.06,32.65,8.68,114.0
Jorapokhar,217.13,49.82,6.15,6.44,23.85,6.54,0.44,26.54,7.3,1.01,2.76,0.82,71.0
Ahmedabad,31.89,98.52,2.96,25.2,14.5,16.645,2.96,44.87,47.99,4.01,23.25,3.33,135.0
Lucknow,111.2,97.965,8.08,53.1,4.22,8.91,1.31,5.2,69.38,0.26,0.16,0.82,274.0
Delhi,186.26,294.24,34.44,60.21,3.98,48.38,1.4,18.98,58.51,3.26,7.3,0.7,366.0
Visakhapatnam,43.75,76.9,4.81,26.77,18.15,10.63,0.5666666666666667,5.41,65.79,3.06,7.18,1.94,75.0
Patna,226.61,158.08,23.4,13.0,17.91,49.8,1.8,16.82,47.19,0.72,5.22,3.55,407.0
Mumbai,21.73,38.49,15.81,30.97,46.79,13.33,0.83,11.61,18.46,1.44,1.44,0.45,83.0
Visakhapatnam,53.03,107.74,4.65,22.34,15.67,10.4,0.61,7.09,49.89,2.87,5.47,0.99,130.0
Amritsar,63.82,181.11,17.18,10.54,23.38,14.2,0.39,14.4,24.17,6.36,2.26,11.55,135.0
Hyderabad,37.4,72.82555555555555,5.24,14.63,19.86,18.18111111111111,0.8,5.99,38.04,0.16,0.94,0.1,107.0
Chennai,31.03,207.7975,8.98,10.58,18.71,39.58,1.12,6.1,38.64,0.12,0.0,0.82,79.0
Delhi,129.08,486.66,20.45,55.01,53.4,65.53,30.44,13.43,32.42,3.46,6.92,0.002333333333333334,314.0
Ahmedabad,77.00841176470588,141.54,150.68352112676055,26.016957746478873,42.94582352941177,16.645,150.68352112676055,63.152985915492955,19.633529411764705,0.0,0.0,0.0,134.27859237536654
Amritsar,121.54,234.56,55.74,20.89,76.63,22.98,1.8,6.0,23.6,4.15,11.6,24.27,311.0
Bengaluru,15.04,23.51,3.91,17.15,9.58,30.59,5.43,1.73,65.62,0.95,1.96,0.82,181.0
Mumbai,25.5,58.53,123.26,8.94,23.81,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Jorapokhar,81.96,116.47,8.77,9.02,23.85,6.32,1.4244444444444446,4.43,44.71,1.01,2.76,0.82,189.0
Ahmedabad,100.92,141.54,20.42,18.9,37.83,16.645,20.42,31.9,22.84,4.9,19.26,8.21,481.0
Gurugram,85.17,251.25,27.953333333333333,91.41333333333334,17.35,39.69,0.0,22.891612903225806,25.346666666666664,3.0651648351648353,4.939809885931559,10.64,284.6
Other Cities,43.22,88.08,17.83,22.37,27.57,55.66,0.6,11.58,7.36,279.17,12.96,2.03,109.0
Ahmedabad,50.65,141.54,10.63,13.0,19.88,16.645,10.63,13.06,6.21,33.6,19.27,0.09,494.0
Visakhapatnam,97.24,177.05,15.93,54.72,42.07,14.31,1.07,17.66,45.07,0.0,0.0,0.0,198.0
Gurugram,163.37,395.4,3.63,12.42,19.706932515337424,39.69,0.97,10.97,25.32,0.03,2.76,10.64,325.0
Delhi,130.41,224.14,33.69,52.7,60.68,34.6,1.3,11.64,25.58,4.46,33.82,1.0,334.0
Lucknow,108.07,97.965,16.63,44.83,70.79252631578947,8.91,1.78,8.4,66.52,3.5,9.21,0.82,238.0
Ahmedabad,94.19672413793103,141.54,8.489568965517241,30.849655172413794,39.33275862068965,16.645,8.489568965517241,17.90586206896552,43.33956896551724,6.174568965517242,13.39655172413793,2.793103448275862,325.78969957081546
Gurugram,30.95,162.82904347826087,8.56,25.5,22.5,39.69,0.83,5.6,25.44,0.06,4.738022813688213,10.64,84.0
Visakhapatnam,145.0,209.56,9.88,50.73,35.02,13.74,0.78,13.31,66.45,6.57,15.11,4.89,181.0
Mumbai,25.5,58.53,123.26,8.94,36.739397849462364,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Delhi,85.53,178.51,24.54,43.12,56.44,43.85,1.15,10.72,40.51,1.93,3.03,0.06,167.0
Delhi,17.52,180.48118644067796,28.89,19.95,5.21,28.58,0.0,11.375975609756098,24.707560975609756,0.09,0.0,0.0,35.0
Visakhapatnam,30.74,139.65,15.7,46.97,37.74,5.3,0.69,31.92,6.92,5.89,10.78,3.02,107.0
Hyderabad,40.12,50.94,24.62,35.16,51.79,78.57,1.65,6.65,43.27,0.19,0.98,0.17,156.0
Bengaluru,41.44,88.52,9.88,28.25,31.68,14.07,0.88,6.36,23.25,1.32,3.76,0.82,88.0
Lucknow,87.21,97.965,7.02,35.56,22.59,49.15,0.94,5.69,43.29,0.22,0.24,0.82,170.0
Delhi,42.11,87.03,30.95,37.91,49.1,32.06,1.1,10.75,28.23,2.51,36.86,0.28,117.0
Jorapokhar,217.13,37.48,6.54,7.38,23.85,6.75,0.6153333333333333,16.38,9.739682539682539,1.01,2.76,0.82,74.73333333333333
Thiruvananthapuram,43.18,86.73,8.62,23.19,19.26,14.26,1.05,8.28,56.73,1.01,2.76,0.82,98.0
Mumbai,25.5,58.53,123.26,8.94,134.67,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Visakhapatnam,29.86,82.04,12.74,32.84,27.82,12.91,0.49,5.17,12.63,4.07,11.87,3.03,82.0
Hyderabad,22.31,55.94,4.49,23.24,15.72,17.96,0.66,8.45,18.82,0.78,4.08,0.7,53.0
Other Cities,54.6,84.96,3.27,11.66,49.44,8.54,0.0,4.53,79.11,3.55,4.63,101.52666666666667,182.0
Amritsar,23.28,50.89,13.5,9.19,22.46,10.72,0.62,5.42,10.12,3.24,1.13,1.98,58.0
Other Cities,129.88,234.82,30.44,24.76,76.53,24.91,1.8,19.02,20.15,4.4,6.57,0.1,222.0
Delhi,70.62,192.27,55.93,83.8,49.07,58.96,0.37,24.03,32.92,1.52,3.35,0.0,204.0
Other Cities,11.19,33.44,1.66,11.89,7.54,40.9,0.42,9.68,21.26,2.75,0.51,1.02,38.0
Lucknow,139.8,97.965,62.83,70.97,6.24,8.91,2.93,20.23,38.51,0.89,4.36,0.82,305.0
Chennai,173.51,48.55,30.07,10.44,14.43,3.53,2.07,7.38,20.18,8.757368421052632,7.910666666666666,0.82,333.0
Chennai,62.64,48.55,10.07,14.88,13.05,51.691165048543695,0.1,4.62,17.01,0.32,0.64,0.82,96.0
Thiruvananthapuram,7.75,12.23,0.63,2.88,1.93,1.3,0.82,1.07,39.53,1.01,2.76,0.82,61.0
Chennai,41.0,48.55,8.04,15.66,17.36,23.7,1.43,14.02,20.96,264.5155555555556,1.1146666666666667,0.82,97.0
Visakhapatnam,55.23800000000001,95.23499999999999,2.034,1.3435294117647079,0.0,0.23,0.0,21.426,12.859,0.0,0.0,0.0,116.96059113300493
Chennai,40.19,33.156666666666666,6.86,16.5,23.27,37.39,0.9,4.61,36.35,0.08,1.0,0.82,99.0
Thiruvananthapuram,14.31,32.57,2.89,6.06,5.57,2.39,0.88,5.05,36.96,1.01,2.76,0.82,54.0
Lucknow,81.15,97.965,6.17,14.57,12.97,10.46,1.01,8.22,39.65,29.57,18.42,0.82,158.0
Jorapokhar,217.13,253.436,7.463333333333334,10.26,23.85,6.95,0.304,41.412,14.056000000000001,1.01,2.76,0.82,168.0
Jaipur,44.59,106.73,14.2,36.63,41.59,26.93,1.2,16.58,75.99,1.47,6.96,0.82,125.0
Amritsar,62.87,139.7,25.09,31.37,54.46,8.06,0.0,7.56,20.76,5.99,2.37,9.59,135.0
Visakhapatnam,19.48,55.45,2.11,23.76,13.74,11.88,0.74,11.35,12.0,3.01,9.62,1.83,82.0
Delhi,38.43,119.87,13.54,32.19,28.73,27.85,0.74,16.06,46.73,1.85,12.49,0.19,141.0
Lucknow,105.39,97.965,3.97,12.12,4.98,8.91,2.28,11.31,16.26,2.62,1.39,0.82,162.0
Amritsar,54.78,96.64,18.45,12.8,28.26,11.97,0.48,18.35,17.0,1.3,1.1,8.82,106.0
Gurugram,87.97,395.4,4.26,24.94,22.464294478527606,39.69,0.79,7.36,44.42,0.0,0.0,10.64,176.0
Hyderabad,23.09,59.77,6.46,32.04,21.93,11.7,0.47,4.64,20.36,1.68,11.13,1.17,76.0
Bengaluru,66.98,100.6,9.08,37.3,25.34,27.07,0.73,6.91,64.9,0.89,0.54,0.82,165.0
Mumbai,25.5,58.53,123.26,8.94,129.07,7.21,0.0,3.62,17.24,0.0,0.0,0.0,73.0
Mumbai,81.34,185.04,70.64,90.08,160.67,7.21,2.57,27.19,38.87,2.21,1.44,0.45,188.0
Chennai,58.09,48.55,5.08,13.26,10.76,96.77087378640778,0.01,2.81,56.37,0.2,0.03,0.82,135.0
Bengaluru,27.84,70.46,6.01,17.97,9.15,13.64,1.21,4.38,25.96,4.18,1.19,0.82,56.0
Visakhapatnam,30.78,86.36,7.32,35.75,24.94,13.82,0.54,4.75,30.05,4.28,9.91,2.58,89.0
Mumbai,25.47,61.36,14.19,22.08,36.26,7.21,1.03,15.21,47.18,0.38,1.44,0.45,64.0
Gurugram,150.09,395.4,8.44,10.1,17.97196319018405,39.69,0.9660869565217391,3.64,30.91,4.22,39.98,10.64,304.0
Patna,53.35,158.08,8.09,9.58,7.38,49.8,1.24,41.38,81.18,1.46,16.6,5.47,141.0
Ahmedabad,54.57,135.53,22.31,115.84,81.95,16.645,22.31,129.06,51.69,1.15,23.37,2.04,502.0
Mumbai,68.29,144.61,14.68,31.18,44.17,20.06,1.03,9.26,44.3,1.76,1.44,0.45,142.0
Visakhapatnam,41.99,137.9,9.11,38.59,27.93,11.81,0.58,11.7,18.61,6.29,10.04,3.78,127.0
Lucknow,206.49,97.965,6.49,13.74,4.22,8.91,1.33,7.04,54.66,167.93,173.07,0.82,394.0
Delhi,149.35,346.31,105.43,94.29,129.43,37.11,2.19,27.27,112.83,2.22,11.14,0.0,425.0
Jaipur,51.71,82.22,10.65,18.88,28.65,16.77,0.68,8.4,37.09,1.28,7.01,0.82,108.0
Jorapokhar,105.12,175.15,10.03,10.57,23.85,6.37,0.0,53.84,55.36,1.01,2.76,0.82,220.0
Jaipur,44.83,96.51,19.13,44.42,53.37,20.85,0.95,9.49,39.54,1.03,1.6,0.82,120.0
Jaipur,51.34,193.04,3.39,14.2,15.01,20.66,0.59,12.14,51.56,0.46,0.54,0.82,132.0
Hyderabad,10.3565,43.70428571428572,18.969,65.8555,0.0,47.18714285714285,0.0,7.4545,14.137,0.0,0.0,0.0,93.28571428571429
Lucknow,84.51,97.965,9.85,21.84,19.79,28.97,1.0,8.71,50.92,0.84,2.78,0.82,183.0
Lucknow,75.48,97.965,38.86,32.31,45.35,19.38,1.06,7.61,31.53,16.76,10.18,0.82,134.0
Delhi,105.29,223.67,28.38,45.32,65.27,42.8,1.18,17.48,44.49,1.29,3.51,0.0,236.0
Delhi,71.62,155.39,26.94,47.56,49.15,29.85,1.24,21.22,45.45,3.13,22.01,1.49,151.0
Chennai,70.8,48.55,5.55,21.71,13.12,247.22,1.1,12.95,32.78,0.19,1.83,0.82,146.0
Mumbai,12.96,53.14,22.39,10.74,32.56,7.52,0.55,9.01,10.33,1.68,1.44,0.45,62.0
Jaipur,64.78,99.43,24.97,10.69,51.05,4.73,0.73,7.29,11.1,0.0,0.57,0.82,149.0
Delhi,46.53,127.08,10.21,34.22,28.48,35.01,0.76,10.92,45.16,1.49,21.79,1.1,130.0
Lucknow,166.73,97.965,5.37,12.9,4.6,8.91,1.66,6.16,88.12,2.85,4.02,0.82,314.0
Hyderabad,62.42,117.76,7.57,44.76,29.05,16.02,0.79,5.44,28.58,1.51,9.39,0.5,129.0
Visakhapatnam,30.03,67.02,12.31,32.93,27.52,10.7,0.88,22.77,13.26,3.98,13.44,3.4,61.0
Patna,230.97,158.08,1.76,3.26,5.01,49.8,0.97,4.1,16.77,0.08,0.46,0.12,329.0
Gurugram,49.62,143.81,5.83,8.46,7.3,39.69,0.19,16.21,25.93,0.0,0.0,10.64,114.0
Patna,192.85,158.08,56.27,141.94,70.91,49.8,1.76,23.98,38.29,0.75,5.35,0.55,372.0
Bengaluru,38.06,74.54,9.91,42.23,22.62,15.610909090909091,1.04,3.2,25.89,1.11,5.634,0.82,73.0
Visakhapatnam,67.81,108.77,10.99,57.83,37.45,13.76,1.42,8.65,64.86,6.43,9.81,8.44,136.0
Delhi,45.19,110.35,19.47,28.51,31.54,31.04,1.02,10.53,19.58,2.24,34.3,0.04,132.0
Other Cities,21.93,43.85,5.81,16.96,17.02,11.36,1.49,23.83,1.45,0.0,0.3,0.77,84.0
Jaipur,84.79,361.08,15.57,18.75,24.92,22.76,0.56,9.3,38.38,0.24,2.24,0.82,285.0
Other Cities,58.7,124.83,11.62,55.18,38.89,18.09,1.0,10.2,47.03,0.02,0.09,0.13,130.0
Bengaluru,42.58,108.68,9.51,23.5,19.24,27.19,1.51,3.45,31.32,0.68,0.37,0.82,88.0
Lucknow,17.17,97.965,24.18,25.08,5.69,8.91,2.09,4.94,33.9,0.32,0.04,0.82,47.0
Delhi,201.17,332.6,83.99,75.08,113.99,42.17,2.4,16.02,41.54,7.04,56.68,2.72,377.0
Thiruvananthapuram,29.75,56.42,6.12,17.57,17.83,7.97,1.1,6.12,40.62,1.01,2.76,0.82,74.0
Ahmedabad,73.24,141.54,9.05,17.51,22.33,16.645,9.05,23.71,42.22,0.0,0.0,4.51,209.0
Bengaluru,40.79,63.42,6.61,43.48,25.98,20.1,0.6,4.37,46.14,4.44,7.41,0.82,80.0
Jaipur,45.95,111.45,13.32,23.44,31.5,12.55,0.71,11.5,20.8,0.58,7.06,0.82,122.0
Amritsar,21.42,44.31,8.6,9.28,17.6,10.27,0.15,5.62,12.0,3.85,1.16,4.09,54.0
Other Cities,17.49,35.85,3.82,8.59,12.46,11.35,0.34,5.75,33.08,1.86,5.78,0.34,50.0
Chennai,81.26,48.55,23.27,20.88,27.69,66.35,3.21,7.26,20.24,13.302105263157895,13.299375,0.82,238.0
Hyderabad,41.38,93.0,8.44,15.76,24.21,24.94,0.86,8.48,32.44,0.25351351351351353,2.041081081081081,2.2194594594594594,118.0
Lucknow,29.69,97.965,2.92,16.32,4.3,8.91,2.19,11.86,43.82,2.05,1.31,0.82,115.0
Ahmedabad,141.2675882352941,141.54,57.762957746478875,17.426084507042255,28.482176470588236,16.645,57.762957746478875,65.12402816901408,29.606470588235293,0.0,0.0,0.0,281.42228739002934
Patna,75.9,158.08,3.77,27.07,9.3,49.8,0.93,26.73,107.35,2.16,32.93,5.65,191.0
Other Cities,41.08,134.47,8.0,36.53,39.79,43.62,1.6,8.32,13.86,0.0,0.18,0.19,147.0
Patna,307.27,158.08,100.68,28.22,128.91,49.8,3.89,4.88,5.88,0.38,1.32,1.09,380.5
Mumbai,75.81,145.75,26.83,36.07,62.91,18.59,0.98,9.36,36.88,6.83,1.44,0.45,160.0
Bengaluru,19.29,70.46,4.45,11.45,8.94,10.76,9.35,1.72,3.62,20.647142857142857,1.25,0.82,223.0
Lucknow,51.38,97.965,6.16,16.4,14.22,27.53,1.11,5.57,37.11,0.82,2.23,0.82,100.0
Mumbai,25.5,58.53,123.26,8.94,119.37,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Bengaluru,84.84,50.03,20.32,36.42,34.42,53.81,1.16,2.96,17.21,1.38,0.81,0.82,118.0
Bengaluru,25.49,88.04,17.04,39.14,22.64,26.39,1.22,4.26,12.69,0.54,0.85,0.82,75.0
Bengaluru,32.91,70.95,9.19,27.77,25.35,13.82,0.82,4.6,49.04,0.4,1.24,0.82,81.0
Ahmedabad,84.03,141.54,26.24,90.66,36.19,16.645,26.24,63.72,72.75,4.13,32.39,7.07,471.0
Jaipur,77.05,50.54,9.06,15.56,24.24,17.72,0.52,8.04,30.16,1.75,2.29,0.82,123.0
Mumbai,25.5,58.53,123.26,8.94,140.27,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Other Cities,1.96,4.32,15.59,0.62,20.63,16.72,0.21,11.13,4.82,3.34,3.51,0.48,21.0
Delhi,83.4,176.02,13.53,33.49,41.53,42.95,1.0,17.14,45.99,1.92,3.93,0.0,226.0
Ahmedabad,104.3928448275862,141.54,7.956163793103448,31.172931034482758,39.12155172413793,16.645,7.956163793103448,20.660172413793106,44.556163793103444,7.203663793103448,15.629310344827585,3.2586206896551726,334.6952789699571
Visakhapatnam,90.03,157.27,4.08,32.85,20.8,13.39,0.92,12.25,113.48,4.84,8.58,2.41,214.0
Hyderabad,29.34,70.91,5.92,21.73,7.49,25.34,0.1,5.69,64.01,0.04,0.67,0.12,110.0
Jaipur,98.1,176.81,27.9,85.5,76.07,22.96,0.0,8.25,119.81,2.4,8.57,0.82,215.0
Gurugram,69.02,395.4,4.08,6.92,4.97,39.69,0.51,2.31,32.99,0.86,8.63,10.64,94.0
Visakhapatnam,23.97,67.96,11.37,35.13,27.93,11.38,0.87,11.12,37.46,5.28,12.72,5.73,91.0
Hyderabad,69.37,108.55,5.36,9.86,13.88,10.29,1.0,3.7,62.11,0.87,3.77,0.88,141.0
Mumbai,25.5,58.53,123.26,8.94,24.18,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Mumbai,17.65,82.39,20.06,9.3,29.25,5.74,0.42,11.35,15.25,1.69,1.44,0.45,76.0
Visakhapatnam,23.42,42.92,2.35,21.57,12.33,6.97,0.31,2.33,65.33,2.3,5.17,1.36,84.0
Bengaluru,43.0,90.64,8.28,34.64,0.0,29.59,0.74,3.03,60.0,1.93,1.41,0.82,99.0
Gurugram,108.48,229.29,29.55,43.84,54.55,39.69,0.85,4.29,37.95,2.0,6.01,10.64,223.0
Ahmedabad,69.1,115.57,34.49,45.08,45.8,16.645,34.49,68.73,23.67,66.38,271.92,65.59,703.0
Visakhapatnam,43.89,110.32,6.23,28.8,20.38,8.75,0.84,4.08,25.09,4.33,10.69,3.82,114.0
Hyderabad,47.03,93.0,4.38,16.54,20.91,24.94,0.32,3.67,42.7,0.39,3.25,0.8,120.0
Patna,56.25,158.08,9.26,14.24,9.3,49.8,0.96,51.41,60.76,11.29,45.26,41.68,163.0
Bengaluru,28.50333333333333,24.12,2.01,8.84,5.6,35.75,0.34,1.99,18.457083333333333,1.6520833333333333,6.420000000000001,0.82,23.0
Bengaluru,30.65,70.46,11.91,19.88,20.72,4.32,17.4,13.61,12.03,0.53,19.25,0.82,91.0
Chennai,24.14,30.66,8.42,12.38,20.29,34.17,1.05,7.5,68.75,0.17,0.16,0.82,110.0
Ahmedabad,46.96,109.44,7.17,16.88,13.58,16.645,7.17,38.11,23.64,2.75,31.14,2.52,175.0
Delhi,37.76,78.42,8.28,28.9,25.51,32.08,0.78,10.64,28.01,1.19,21.78,0.41,92.0
Ahmedabad,56.93,141.54,10.46,30.45,22.62,16.645,10.46,102.66,37.12,6.98,33.54,0.87,535.0
Mumbai,25.5,58.53,123.26,8.94,111.48,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Bengaluru,54.73,137.9,19.16,36.44,36.17,41.22,0.84,5.5,62.99,0.78,1.68,0.82,127.0
Mumbai,25.5,58.53,123.26,8.94,98.73109677419356,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Delhi,121.68,245.2,18.94,46.51,42.73,35.08,1.44,14.95,49.68,4.58,30.79,2.36,300.0
Hyderabad,32.63,58.94,9.14,19.17,8.14,6.64,0.18,4.57,39.66,0.4,3.6,0.59,74.0
Delhi,306.17,445.58,83.77,66.97,23.13,83.55,1.95,17.97,76.45,7.01,21.12,0.35,451.0
Thiruvananthapuram,9.12,21.4,2.89,9.79,7.48,3.11,0.88,6.54,27.47,1.01,2.76,0.82,54.0
Delhi,36.82,87.8,12.82,29.23,27.0,28.65,1.11,9.75,28.2,2.25,22.07,0.87,111.0
Delhi,51.67,220.14,24.52,32.53,57.84,23.0,0.96,12.77,60.73,1.94,6.0,3.2613821138211385,288.0
Patna,154.59,174.78,69.89,25.34,94.37,14.62,4.16,12.28,9.91,3.42,1.25,4.85,343.0
Hyderabad,16.53,63.46,7.95,11.48,6.15,6.42,0.14,6.85,29.24,0.01,0.46,0.24,74.0
Thiruvananthapuram,46.07,87.18,0.87,5.94,3.76,3.79,0.81,4.1,69.55,1.01,2.76,0.82,101.0
Jorapokhar,57.57,105.36,9.05,9.46,23.85,6.3,0.3913043478260869,4.67,7.6,1.01,2.76,0.82,112.0
Ahmedabad,88.0,145.34,18.8,226.03,131.69,16.645,18.8,158.4825,32.59,2.14,27.52,1.91,638.0
Other Cities,7.23,27.84,10.21,17.12,17.41,51.91,0.66,5.91,28.85,0.01,0.09,2.09,49.0
Jorapokhar,50.693333333333335,154.62,24.87,12.92,23.85,8.73,2.250952380952381,38.65,33.77,1.01,2.76,0.82,106.54545454545455
Hyderabad,25.12,93.0,5.6,5.65,11.25,24.94,0.24,3.52,11.09,0.5076576576576577,0.835945945945946,16.017027027027027,41.0
Jaipur,71.63,164.83,15.55,30.26,46.75,26.41,0.52,6.54,31.04,3.27,9.57,0.82,240.0
Other Cities,171.38,311.68,4.26,41.07,25.32,7.78,3.26,5.83,4.69,0.0,6.21,0.17,252.0
Patna,94.82,158.08,5.47,20.64,8.84,49.8,0.85,37.8,56.85,0.25,2.3,0.68,198.0
Jaipur,29.05,74.88,11.58,33.15,38.33,35.28,0.66,10.34,38.69,2.57,15.1,0.82,100.0
Jorapokhar,217.13,116.29388888888889,7.325555555555555,6.878888888888889,23.85,6.4527777777777775,0.21411764705882352,47.85666666666667,19.27111111111111,1.01,2.76,0.82,77.48
Thiruvananthapuram,22.04,45.18,2.97,12.1,8.85,3.99,0.89,6.99,46.45,1.01,2.76,0.82,67.0
Lucknow,60.47,97.965,11.33,16.31,15.47,29.94,1.07,4.27,35.96,39.47,8.55,0.82,128.0
Delhi,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,2.6,5.5,2.94,324.0
Jorapokhar,55.67,116.8,9.14,9.48,23.85,6.26,0.9391304347826086,8.72,26.77,1.01,2.76,0.82,113.0
Mumbai,69.19,174.51999999999998,38.145,33.425,71.57,7.21,2.42,20.355,91.065,2.705,1.44,0.45,145.0
Lucknow,102.62,97.965,9.48,31.79,24.24,1.28,0.84,10.2,26.94,0.67,1.35,0.82,192.0
Hyderabad,39.82,102.44,3.39,36.09,21.62,14.37,0.57,7.62,30.19,1.4,11.28,0.91,93.0
Lucknow,168.41,97.965,52.26,75.24,81.44,67.51,1.5,8.52,25.6,0.73,0.94,0.82,342.0
Mumbai,22.7,83.82,48.02,30.65,78.67,7.21,1.91,23.82,15.09,0.61,1.44,0.45,108.0
Other Cities,34.26,78.19,8.39,11.38,12.63,14.62,2.04,10.41,4.84,1.37,0.97,3.39,104.0
Jaipur,50.89,135.33,19.73,26.7,41.18,17.5,0.73,13.55,47.94,0.68,3.45,0.82,121.0
Mumbai,37.39,78.33,27.56,30.41,57.99,7.21,1.71,13.1,55.14,1.89,1.44,0.45,100.0
Bengaluru,30.65,70.46,11.53,19.94,18.57,6.9,29.33,8.79,45.01,267.59499999999997,29.33,0.82,91.0
Ahmedabad,100.31439655172414,141.54,8.169525862068966,31.04362068965517,39.206034482758625,16.645,8.169525862068966,19.55844827586207,44.069525862068964,6.792025862068966,14.736206896551725,3.0724137931034488,331.13304721030045
Hyderabad,21.64,58.74444444444444,6.62,7.53,14.15,15.430138888888889,1.05,7.03,8.83,0.11,0.62,0.11,252.0
Jorapokhar,217.13,187.944,7.244999999999999,6.97,23.85,7.2122222222222225,0.339,36.506,18.66,1.01,2.76,0.82,126.464
Hyderabad,26.22,81.09,9.46,21.64,9.62,8.4,0.23,4.69,25.05,1.45,6.23,1.63,90.0
Bengaluru,28.89,53.47,3.55,40.9,4.13,40.83,0.53,2.85,24.81,3.0777777777777775,1.0566666666666666,0.82,60.0
Jorapokhar,47.62,129.94,8.64,8.49,23.85,6.49,1.8604761904761906,23.44,125.94,1.01,2.76,0.82,210.0
Other Cities,25.9,40.09,7.81,14.16,10.14,21.31,1.87,9.07,4.52,0.0,12.95,1.09,102.0
Jaipur,18.11,44.42,6.45,19.82,21.08,22.22,0.65,9.17,24.83,0.32,3.08,0.82,53.0
Visakhapatnam,66.51,160.33,14.16,33.99,29.59,14.08,0.74,13.53,51.26,4.62,8.39,3.38,127.0
Patna,198.92,158.08,144.3,31.9,176.2,49.8,1.02,3.21,2.9,0.38,1.4,1.27,350.0
Jaipur,30.51,138.75,6.44,32.22,51.05,18.73,0.94,13.22,23.59,0.01,0.7,0.82,146.0
Bengaluru,23.25,50.92,11.74,22.84,27.09,14.15,1.03,5.46,19.8,0.82,38.94,0.82,75.0
Jaipur,21.7,38.46,5.42,16.42,19.71,31.03,0.68,9.47,72.53,1.01,1.52,0.82,89.0
Hyderabad,24.66,82.96,7.02,26.52,19.13,11.46,0.29,8.85,18.68,1.15,11.2,10.26,68.0
Ahmedabad,34.92,114.11,30.5,110.39,88.63,16.645,30.5,116.97,37.07,6.3,80.04,1.48,513.0
Ahmedabad,40.29,141.54,6.74,10.52,17.26,16.645,6.74,8.27,3.57,1.85,4.34,0.39,173.0
Other Cities,1.54,14.39,1.92,12.04,29.73,9.51,0.32,10.71,20.74,0.0,0.0,1.08,108.0
Visakhapatnam,25.83,70.56,19.44,43.68,38.33,16.21,0.85,30.88,9.06,5.31,11.93,5.21,84.0
Lucknow,139.46,97.965,72.32,68.03,6.24,8.91,2.48,9.22,16.54,1.81,4.18,0.82,301.0
Delhi,34.24,122.23,7.87,25.74,22.61,36.17,0.65,8.82,33.79,0.98,15.01,0.37,111.0
Lucknow,151.3,97.965,5.61,37.76,5.82,8.91,1.12,4.28,12.49,0.3,0.87,0.82,244.0
